paper_id,organism,year,journal,query_source,explicit_reason_found,hallucination_free,null_reason,claim,category,subcategory,supporting_quote,quote_match_score,hallucination_risk,cluster_id,cluster_probability,umap_x,umap_y
38345152,E. coli,2024,J Biomed Mater Res B Appl Biomater,ecoli_model_organism,True,True,,used as a representative model organism for testing HHP decontamination,biological,model_organism_use,"Using Escherichia coli (E. coli) as a model organism, HHP treatment parameters like temperature and duration, pressurization medium, and the number of treatment cycles were systematically adjusted to maximize the efficiency of inactivating logarithmic and stationary phase bacteria.",1.0,False,12,0.813443449267518,13.137726,0.56398946
38187591,E. coli,2023,bioRxiv,ecoli_model_organism,True,True,,E. coli is a model organism,historical,model_organism,the model organism Escherichia coli,1.0,False,-1,0.0,12.368975,-0.18247661
38078717,E. coli,2024,Microbiol Spectr,ecoli_model_organism,True,True,,E. coli has traditionally been used to study fluoroquinolone antibiotic tolerance,historical,research_precedent,which has traditionally been used to study fluoroquinolone antibiotic tolerance,1.0,False,9,1.0,13.0323,1.6389923
38054714,E. coli,2024,Microbiol Spectr,ecoli_model_organism,True,True,,E. coli was chosen as a representative gram-negative model organism,biological,gram_negative_representation,in the gram-negative model organism Escherichia coli,1.0,False,8,1.0,13.86805,1.3971546
37823039,E. coli,2023,Synth Syst Biotechnol,ecoli_model_organism,True,True,,E. coli is used as a model organism,historical,model_organism,in the model organism Escherichia coli,1.0,False,12,1.0,13.21418,0.43841022
37792901,E. coli,2023,PLoS Genet,ecoli_model_organism,True,True,,E. coli K-12 is a well-established model organism in bacteriology,historical,model_organism_status,Escherichia coli K-12 is a model organism for bacteriology and has served as a workhorse for molecular biology and biochemistry for over a century since its first isolation in 1922,1.0,False,11,0.9857504255834378,11.876143,-0.010662084
37780019,E. coli,2023,ACS Omega,ecoli_model_organism,True,True,,E. coli was chosen as a representative Gram-negative bacterium,biological,model_organism_selection,as a Gram-negative model organism,1.0,False,8,0.999357113283038,13.9119215,1.5035213
37759570,E. coli,2023,Biology (Basel),ecoli_model_organism,True,True,,E. coli was chosen because it grows quickly and is easy to manipulate genetically,technical,growth_kinetics,its fast growth and easy manipulation,1.0,False,-1,0.0,12.054481,2.386411
37586589,E. coli,2023,J Biol Chem,ecoli_model_organism,True,True,,focus on E. coli is due to the availability of studies using it as a model,historical,availability_of_research,"In the current review, which is mainly focused on studies using Escherichia coli as a model organism",1.0,False,5,0.265781030374145,14.366077,2.2147164
37550824,E. coli,2023,ACS Appl Mater Interfaces,ecoli_model_organism,True,True,,E. coli was used as a model organism to study the antibacterial mechanism,biological,model_organism,"The specific antibacterial mechanism against E. coli used as a model organism is unveiled using several cell envelope structural and functional analyses combined with proteomics, peptidoglycomics, and fluorescence probe techniques.",1.0,False,9,1.0,13.158941,1.541503
37432124,E. coli,2023,Microbiol Spectr,ecoli_model_organism,True,True,,E. coli was used to demonstrate TelE toxicity,technical,toxicity_assay,One of the six effectors named TelE displayed a strong toxicity when overexpressed in Escherichia coli,1.0,False,9,0.7518341286636459,12.674985,1.5836712
37289241,E. coli,2023,Appl Microbiol Biotechnol,ecoli_model_organism,True,True,,E. coli is widely used for recombinant protein expression and production of valuable products like molecular hydrogen,technical,expression_platform,"E. coli has found widespread use as an expression platform for producing recombinant proteins, molecular hydrogen (H(2)), and other valuable products",1.0,False,6,0.9681997666479035,10.643316,2.7687445
37271787,E. coli,2023,Environ Sci Pollut Res Int,ecoli_model_organism,True,True,,used as a model organism for toxicity testing,biological,toxicity_assay,employing Escherichia coli as a model organism,1.0,False,3,1.0,7.7228,3.4391181
37080413,E. coli,2023,Phytochemistry,ecoli_model_organism,True,True,,E. coli was used to produce diverse polyprenyl diphosphate precursors for characterizing the enzyme,technical,metabolic_engineering,through an engineered Escherichia coli producing diverse polyprenyl diphosphate precursors,1.0,False,-1,0.0,11.249275,1.9941154
36971548,E. coli,2023,J Bacteriol,ecoli_model_organism,True,True,,E. coli has been extensively used to characterize the Lol system,historical,prior_characterization,Lol proteins and models of how Lol transfers lipoproteins from the inner to the outer membrane have been extensively characterized in the model organism Escherichia coli,1.0,False,-1,0.0,12.55827,1.0723944
36853057,E. coli,2023,Microbiol Spectr,ecoli_model_organism,True,True,,E. coli is used as a model organism for studying antibiotic responses,biological,model_organism,this model organism,1.0,False,9,1.0,13.083746,1.5649614
36837769,E. coli,2023,Metabolites,ecoli_model_organism,True,True,,E. coli is a widely used model organism,historical,model_organism_status,this widely applied model organism,1.0,False,-1,0.0,12.994283,0.3105292
36826281,E. coli,2023,Gels,ecoli_model_organism,True,True,,E. coli was used as a model organism for antibacterial study,biological,model_organism_use,E. coli was used as a model microbial organism for the antibacterial study,1.0,False,9,1.0,13.193028,1.5669556
36821579,E. coli,2023,PLoS One,ecoli_model_organism,True,True,,E. coli OP50 is the standard bacterial diet for C. elegans,historical,standard_protocol,the standard bacterial diet Escherichia coli OP50,1.0,False,-1,0.0,14.939624,1.1133251
36786055,E. coli,2023,Dis Model Mech,ecoli_model_organism,True,True,,E. coli bacterial ghosts serve as a non-replicating nutrient source to prevent bacterial overgrowth during compound exposure,technical,nutrient_source,"Escherichia coli bacterial ghosts, a non-replicating nutrient source, allow compound exposures over two life cycles, mitigating bacterial overgrowth complications",1.0,False,7,0.5757954261807995,13.556342,2.0903113
36771155,E. coli,2023,Molecules,ecoli_model_organism,True,True,,E. coli is a model organism with advanced synthetic biology and metabolic engineering tools available,technical,genetic_tool_availability,"Recent progress in synthetic biology and metabolic engineering tools has enabled microbial systems to be a production system of HMOs. In this regard, the model organism Escherichia coli has emerged as the preferred production platform.",1.0,False,11,0.6555613431130023,11.165591,0.2415461
36745549,E. coli,2023,Microb Genom,ecoli_model_organism,True,True,,E. coli K-12 has been a foundational model organism in molecular biology,historical,model_organism_pedigree,since then it has become an invaluable model organism and a cornerstone of molecular biology research,1.0,False,11,0.7555092291334901,11.856492,0.02343715
36656064,E. coli,2023,Anal Chem,ecoli_model_organism,True,True,,E. coli is an important prokaryotic model organism,biological,model_organism,"E. coli, an important prokaryotic model organism and a widely used microbial factory",1.0,False,11,0.6787980691118163,12.068834,0.09514386
36656064,E. coli,2023,Anal Chem,ecoli_model_organism,True,True,,E. coli is a widely used microbial factory,technical,industrial_application,a widely used microbial factory,1.0,False,7,0.54361656268403,13.795147,2.1742082
36409154,E. coli,2022,Microbiol Spectr,ecoli_model_organism,True,True,,E. coli is used as a model organism for studying antibiotic uptake in Gram-negative bacteria,biological,model_organism,the Gram-negative model organism Escherichia coli,1.0,False,9,0.8816594161821384,13.192457,1.2964873
36288792,E. coli,2022,ACS Appl Mater Interfaces,ecoli_model_organism,True,True,,used for technical validation of the chip,technical,device_validation,"Technical validation, performed with the model organism Escherichia coli expressing a fluorescent protein, showed that this low-cost, bioinert, and widely modifiable chip is rapidly colonized by microorganisms.",1.0,False,3,0.7120955788876357,7.9865904,2.7621768
36281624,E. coli,2022,Aging Cell,ecoli_model_organism,True,True,,use of live OP50 E. coli as food source in nematode experiments,technical,food_source,in experiments using live OP50 Escherichia coli as a food source,1.0,False,-1,0.0,14.964283,1.1208755
36271796,E. coli,2023,Nucleic Acids Res,ecoli_model_organism,True,True,,E. coli was chosen because it is a model organism,biological,model_organism,we adapted and improved our method to investigate T1TAs in the model organism Escherichia coli,1.0,False,4,1.0,12.473907,2.178998
35910622,E. coli,2022,Front Microbiol,ecoli_model_organism,True,True,,use of a simple model organism for examining amino acid fingerprinting,technical,model_organism_simplicity,within our linear discriminant analysis with a simple model organism to examine potential amino acid fingerprinting,1.0,False,-1,0.0,6.388053,2.7939122
35809555,E. coli,2022,Brief Bioinform,ecoli_model_organism,True,True,,E. coli is a classical model organism,historical,model_organism_status,this classical model organism,1.0,False,11,0.6529685750622899,12.418296,-0.23583002
35796852,E. coli,2022,Biotechnol Lett,ecoli_model_organism,True,True,,E. coli is a well-established cell factory for recombinant protein production,technical,expression_platform,its use as a cell factory is well established and it has become the most popular expression platform particularly for non-glycosylated therapeutic proteins,1.0,False,6,0.9363564167460573,10.732368,2.6965652
35796852,E. coli,2022,Biotechnol Lett,ecoli_model_organism,True,True,,E. coli has a long history of use in biopharmaceutical production,historical,historical_use,"Since the manufacture of the first biotech product for a fledgling biopharmaceutical industry in 1982, Escherichia coli, has played an important role in the industrial production of recombinant proteins",1.0,False,-1,0.0,10.117235,3.081358
35796852,E. coli,2022,Biotechnol Lett,ecoli_model_organism,True,True,,Recent advancements enable E. coli to produce complex proteins,technical,engineered_strains,"new advancements in the E. coli expression system to meet the biotechnology industry requirements, such as novel engineered strains to glycosylate heterologous proteins, add disulphide bonds and express complex proteins",1.0,False,6,1.0,10.880938,2.7604027
35796852,E. coli,2022,Biotechnol Lett,ecoli_model_organism,True,True,,E. coli is positioned to regain prominence due to emerging protein therapeutics,biological,protein_scaffolds,"with new antibody like scaffolds and mimetics emerging as future proteins of interest, E. coli has again the opportunity to be the selected as the production system of choice",1.0,False,6,0.7046745742400001,11.165569,2.6383758
35784616,E. coli,2022,J Microbiol Biol Educ,ecoli_model_organism,True,True,,E. coli has a knockout collection available for genetic studies,technical,genetic_tools,"E. coli has a knockout collection available, and we used a wild-type strain and a DeltamutS strain in the laboratory exercise.",1.0,False,-1,0.0,11.215958,0.1950043
35701417,E. coli,2022,Nat Commun,ecoli_model_organism,True,True,,chosen as a model organism,biological,model_organism,the model organism Escherichia coli,1.0,False,3,0.9524414194252981,7.8915954,4.0006332
35604119,E. coli,2022,mSystems,ecoli_model_organism,True,True,,E. coli is a well-studied Gram-negative model bacterium for the Psp response,historical,model_organism_precedent,Most knowledge about the Psp response derives from studies in the Gram-negative model bacterium Escherichia coli,1.0,False,8,0.8109812201708241,13.770444,1.2151212
35477006,E. coli,2022,Arch Biochem Biophys,ecoli_model_organism,True,True,,E. coli was used due to prior research on Mn-superoxide dismutase induction and regulation,historical,prior_research,The concept was materialized during our studies on the induction and regulation of the Mn-superoxide dismutase in this unicellular organism,1.0,False,-1,0.0,11.890209,1.8213973
35326787,E. coli,2022,Antibiotics (Basel),ecoli_model_organism,True,True,,E. coli has been extensively studied for the SOS response in antibiotic-induced mutagenesis,historical,prior_research,The role of the SOS response in stress- and antibiotic-induced mutagenesis has been characterized in detail in the model organism Escherichia coli,1.0,False,-1,0.0,12.844996,1.8535559
35253795,E. coli,2022,J Vis Exp,ecoli_model_organism,True,True,,used as a common lab strain for demonstration,historical,common_lab_strain,"A commonly used lab strain, Escherichia coli BL21(DE3), was used as a model organism in this study for demonstration purposes.",1.0,False,5,0.37115253809700655,14.350463,2.0613277
35208877,E. coli,2022,Microorganisms,ecoli_model_organism,True,True,,E. coli is used as a well-characterized model for comparison,historical,model_organism_status,"While this complex has been thoroughly characterized in the model organism Escherichia coli, much less is known about its functioning and/or its specific properties in other bacteria.",1.0,False,-1,0.0,14.153303,1.2517304
35087494,E. coli,2021,Front Microbiol,ecoli_model_organism,True,True,,E. coli was chosen because it is a model organism,historical,model_organism,the model organism Escherichia coli (E. coli),1.0,False,4,1.0,12.499147,2.2220516
34985746,E. coli,2022,Methods Mol Biol,ecoli_model_organism,True,True,,E. coli is a robust model organism,biological,robustness,"even in a robust model organism, such as Escherichia coli",1.0,False,11,0.8782855635940134,12.159895,-0.20988359
34978575,E. coli,2022,Mol Biol Evol,ecoli_model_organism,True,True,,used as a model for cellulosic biofilms to study nutrient procurement,technical,model_for_biofilms,"by using various Escherichia coli K-12 strains as a model for cellulosic biofilms, we demonstrate that cellulases facilitate the procurement of nutrients from bacterial biofilms",1.0,False,0,0.8174655450591102,12.250786,5.5417705
34784345,E. coli,2021,PLoS Biol,ecoli_model_organism,True,True,,E. coli is a well-established model organism for studying phage-host interactions,historical,model_organism_status,fundamental knowledge of the molecular mechanisms underlying phage-host interactions is mostly confined to a few traditional model systems,1.0,False,-1,0.0,12.774607,2.626936
34613759,E. coli,2021,Appl Environ Microbiol,ecoli_model_organism,True,True,,E. coli is a model organism for studying bacterial life cycle mechanisms,biological,model_organism,Characterization of the mechanisms that control entry into the death phase for the model organism E. coli not only deepens our understanding of the bacterial life cycle,1.0,False,11,0.73599844723157,12.044676,0.2739809
34552219,E. coli,2021,Nat Chem Biol,ecoli_model_organism,True,True,,E. coli is a well-studied model organism in biology,historical,model_organism_status,While E. coli are considered to be a well-studied model organism in biology,1.0,False,11,1.0,11.813323,-0.073691286
34331557,E. coli,2021,Appl Microbiol Biotechnol,ecoli_model_organism,True,True,,E. coli is a well-known model organism,historical,model_organism_status,the well-known model organism Escherichia coli,1.0,False,11,0.8858815282786832,11.835715,-0.15245269
34242084,E. coli,2021,EcoSal Plus,ecoli_model_organism,True,True,,E. coli is a well-established model organism for studying cellular behavior,historical,model_organism_status,in order to better understand and predict the behavior of this model organism,1.0,False,11,0.7986683111742465,11.933869,0.2321545
34028214,E. coli,2021,Adv Biol (Weinh),ecoli_model_organism,True,True,,E. coli is a biotechnologically relevant model organism,technical,model_organism_relevance,the biotechnologically highly relevant model organism Escherichia coli,1.0,False,-1,0.0,11.440075,0.22060114
33941580,E. coli,2021,Infect Immun,ecoli_model_organism,True,True,,E. coli is a model organism for comparative genomic studies due to many available sequenced genomes,technical,genome_availability,"With many sequenced genomes, it has served as a model organism for comparative genomic studies to understand the link between genetic content and potential for virulence.",1.0,False,11,0.6623918973876716,12.004791,0.23407139
33937339,E. coli,2021,Front Mol Biosci,ecoli_model_organism,True,True,,E. coli is used as a model organism for studying SecYEG-mediated protein transport,historical,model_organism_status,primarily in the model organism Escherichia coli,1.0,False,-1,0.0,11.889329,0.6717701
33913748,E. coli,2021,Microb Drug Resist,ecoli_model_organism,True,True,,E. coli ST131 is a high-risk multidrug-resistant clone with global distribution and niche adaptability,biological,pathogenicity,Escherichia coli ST131 is one of the high-risk multidrug-resistant clones with a global distribution and the ability to persist and colonize in a variety of niches.,1.0,False,7,1.0,13.450234,2.7832997
33913748,E. coli,2021,Microb Drug Resist,ecoli_model_organism,True,True,,E. coli ST131 serves as a model to study the emergence of superbugs,technical,model_relevance,E. coli ST131 is a great model organism to investigate the emergence of superbugs.,1.0,False,-1,0.0,13.727248,1.7468696
33913748,E. coli,2021,Microb Drug Resist,ecoli_model_organism,True,True,,E. coli ST131 can cause both intestinal and extraintestinal infections,biological,infection_capability,"This microorganism has the ability to cause intestinal and extraintestinal infections, and its accurate identification as well as its antibiotic resistance patterns are vitally important for a successful treatment strategy.",1.0,False,7,1.0,13.513117,2.8644264
33882407,E. coli,2021,Aquat Toxicol,ecoli_model_organism,True,True,,E. coli is used because it is a food source for C. elegans that can be chemosensorially recognized,biological,nutritional_value,"as it was upregulated only by E. coli cells, which can be chemosensorially recognized by C. elegans",1.0,False,-1,0.0,14.940925,1.1086975
33849976,E. coli,2021,mBio,ecoli_model_organism,True,True,,E. coli is the best-studied model for the Min system,historical,research_precedent,The Min system is best studied in Escherichia coli,1.0,False,-1,0.0,11.903973,0.31811443
33687766,E. coli,2021,J Basic Microbiol,ecoli_model_organism,True,True,,E. coli is commonly used in chemotaxis studies,historical,research_precedent,"In most of the chemotaxis studies, Escherichia coli has been used as a model organism.",1.0,False,-1,0.0,13.282188,-0.3389084
33685366,E. coli,2021,RNA Biol,ecoli_model_organism,True,True,,E. coli was used because the substrate specificity of Dus enzymes has been determined in this organism,historical,prior_characterization,their substrate specificity has been determined in Escherichia coli,1.0,False,-1,0.0,11.648141,1.8126409
33666292,E. coli,2021,Mol Microbiol,ecoli_model_organism,True,True,,E. coli is a Gram-negative model organism,historical,model_organism_status,In the Gram-negative model organism Escherichia coli,1.0,False,8,1.0,13.852573,1.3437434
33645541,E. coli,2021,Acta Crystallogr D Struct Biol,ecoli_model_organism,True,True,,E. coli was chosen for its suitability in heterologous protein expression,technical,heterologous_expression,The nucleotide sequence was codon-optimized for heterologous expression in Escherichia coli BL21 (DE3) Gold cells and the protein was subsequently overexpressed and purified,1.0,False,6,1.0,10.799733,2.8532968
33046008,E. coli,2020,BMC Microbiol,ecoli_model_organism,True,True,,E. coli was chosen as a model organism for studying polyunsaturated fatty acid responses,historical,model_organism,a survey of the polyunsaturated fatty acid responses in the model organism Escherichia coli has not been performed,1.0,False,-1,0.0,10.336966,0.5008359
32994326,E. coli,2020,mBio,ecoli_model_organism,True,True,,E. coli is a well-understood model organism with existing tools for studying carbon metabolism,technical,existing_tools,in the model microbe Escherichia coli where much is already understood and there are existing tools for the investigation of carbon metabolism and physiology,1.0,False,11,0.6453621705882849,11.205399,0.011604031
32853670,E. coli,2020,Int J Antimicrob Agents,ecoli_model_organism,True,True,,E. coli was chosen as a model organism to study the mode of action of OCT on Gram-negative bacteria,biological,model_organism_relevance,using Escherichia coli as a model organism as well as corresponding model membranes,1.0,False,9,0.8099495932340389,13.41412,1.3827848
32843538,E. coli,2020,mSystems,ecoli_model_organism,True,True,,used as a model organism for assessing predictive power of promoter tools,biological,model_organism_use,"Using Escherichia coli as a model organism, we demonstrated that while some tools are biased toward AT-rich sequences, others are very efficient in identifying real promoters with low false-negative rates.",1.0,False,3,1.0,7.733855,2.9595559
32839176,E. coli,2020,J Bacteriol,ecoli_model_organism,True,True,,E. coli was used to evaluate evolutionary conservation and phylogenetic relationships of efflux pumps,biological,evolutionary_conservation,"Using Escherichia coli as a model organism, we here evaluated the evolutionary conservation of drug efflux pumps and we provide phylogenetic analysis of the major efflux families",1.0,False,-1,0.0,12.979544,1.1055095
32810805,E. coli,2020,Sci Total Environ,ecoli_model_organism,True,True,,used as a host for screening genomic library,technical,genomic_screening,a genomic library constructed from P. putida KT2440 (DeltaDeltaars) was used to screen for resistance to Rox(III) in Escherichia coli,1.0,False,3,0.8016490986883233,5.759084,3.9497168
32753505,E. coli,2020,mSystems,ecoli_model_organism,True,True,,E. coli has been previously used in experimental evolution studies,historical,prior_use,Escherichia coli has been used as a model organism in experimental evolution studies for years,1.0,False,-1,0.0,12.318994,1.127372
32707936,E. coli,2020,Antibiotics (Basel),ecoli_model_organism,True,True,,E. coli was chosen due to its relevance in urinary tract device applications,biological,relevance_to_application_site,using Escherichia coli as a model organism and PDMS as a control due to its relevance in these applications,1.0,False,4,1.0,12.908843,2.4653752
32576674,E. coli,2020,mBio,ecoli_model_organism,True,True,,E. coli is a model organism with well-known transcription factors and regulatory networks,historical,model_organism_status,"This is particularly apparent for the model organism Escherichia coli as evolution has driven the emergence of species members with highly distinct genomes, which occupy extremely different niches in nature.",1.0,False,11,0.7198418708024276,11.550751,0.4870582
32385980,E. coli,2020,EcoSal Plus,ecoli_model_organism,True,True,,E. coli is one of the best-characterized model organisms,biological,model_organism_status,remains one of the best-characterized model organisms,1.0,False,11,1.0,11.659571,-0.40876037
32347079,E. coli,2020,J Microbiol Biotechnol,ecoli_model_organism,True,True,,E. coli is used as a model organism to study ABC transporters,biological,model_organism,Functional study of unknown ATP-binding cassette (ABC) superfamily transporters in the model organism E. coli is conducive to discovering new multidrug resistance-reversal targets and providing references for studying other ABC proteins of unknown function.,1.0,False,-1,0.0,12.985239,0.7585461
32309051,E. coli,2020,PeerJ,ecoli_model_organism,True,True,,used as a model organism for developing a detection method,biological,model_organism,"Escherichia coli was used as a model organism to develop a rapid, accurate, and reliable multiplex polymerase chain reaction (M-PCR) for the detection of four aminoglycoside modifying enzyme (AME) resistance genes Aac(6')-Ib, Aac(3)-II, Ant(3'')-Ia, and Aph(3')-Ia",1.0,False,3,1.0,7.926102,3.224308
32298268,E. coli,2020,PLoS Comput Biol,ecoli_model_organism,True,True,,E. coli is a model organism with a well-curated metabolic network reconstruction,biological,model_organism_status,"Utilizing a metabolic network reconstruction for the model organism Escherichia coli str. K-12 substr. MG1655 (iJO1366), we found that RIPTiDe correctly identifies context-specific metabolic pathway activity without supervision or knowledge of specific media conditions.",1.0,False,11,0.6938339015924723,11.210796,-0.06872755
32239579,E. coli,2020,Environ Microbiol,ecoli_model_organism,True,True,,E. coli is a well-characterized model organism for studying Moco biosynthesis,biological,model_organism_usage,the well-characterized Moco biosynthesis in the model organism Escherichia coli,1.0,False,11,0.9058433777046425,11.617056,-0.121646434
